,Hidden_Layers,Epochs_Count,Total_Node_Count,Train_Data_Node_Count,Train_Data_Loss,Train_Data_Accuracy,Test_Data_Loss,Test_Data_Accuracy
0,0,20,21,21,0.32774063041722606,0.8631813,0.339328736745299,0.858287
1,0,20,42,42,0.3105373468096715,0.8701273,0.3250605850041598,0.86154985
2,0,20,63,63,0.3155823611561911,0.86506,0.32931366258411,0.8576196
3,0,20,126,126,0.31724575593995746,0.8650105,0.33314344361728326,0.8600667
4,0,40,21,21,0.31097391499030314,0.8693857,0.3296995127304952,0.8588802
5,0,40,42,42,0.3193340976266834,0.8673588,0.33584075144895764,0.8583611
6,0,40,63,63,0.3064150896182595,0.8694846,0.3265607285431062,0.8599184
7,0,40,126,126,0.30997409380317664,0.86978126,0.3285212532299114,0.8614757
8,0,60,21,21,0.3298518931124594,0.8592016,0.344218938384712,0.8522803
9,0,60,42,42,0.3232586218479493,0.8634532,0.34232696095881393,0.85532075
10,0,60,63,63,0.3186111623241055,0.86768013,0.3364181444076507,0.86051166
11,0,60,126,126,0.30864237906419806,0.86676556,0.33153328176202446,0.8590286
12,1,20,42,21,0.3253616105816211,0.86456555,0.3475621548435358,0.85354096
13,1,20,84,42,0.33493743751019867,0.8622173,0.3538628987385071,0.85391176
14,1,20,126,63,0.319909449534781,0.8631566,0.3413934257656369,0.85509825
15,1,20,252,126,0.34973079772361526,0.8556668,0.37052184142887834,0.85005563
16,1,40,42,21,0.33017368864886415,0.8661723,0.3523761475466338,0.8541342
17,1,40,84,42,0.3274370106568134,0.86066,0.34345293005926325,0.8524286
18,1,40,126,63,0.41321555452299064,0.8364108,0.4297579468357417,0.82936597
19,1,40,252,126,0.6092506843655767,0.72999626,0.6193570784740993,0.72651094
20,1,60,42,21,1.794847069581055,0.26444197,1.802838666482373,0.2640712
21,1,60,84,42,1.781028191348764,0.2685453,1.790514993252116,0.26340377
22,1,60,126,63,1.7810425956675626,0.27257445,1.7902233631645348,0.27133852
23,1,60,252,126,1.781670246677071,0.27257445,1.7911529930865804,0.27133852
24,2,20,63,21,1.7817911879681285,0.2685453,1.7912526394819657,0.26340377
25,2,20,126,42,1.7823140606392802,0.2685453,1.791726251058681,0.26340377
26,2,20,189,63,1.7820360032019016,0.27257445,1.7916671554733745,0.27133852
27,2,20,378,126,1.7828510897163408,0.27257445,1.7912340021681512,0.27133852
28,2,40,63,21,1.781232449504799,0.27257445,1.7904027706347088,0.27133852
29,2,40,126,42,1.7808992074927064,0.2685453,1.7902500097955825,0.26340377
30,2,40,189,63,1.7809956770717634,0.2685453,1.79021331284459,0.26340377
31,2,40,378,126,1.7812283932949053,0.2685453,1.790610160976151,0.26340377
32,2,60,63,21,1.7810447353173975,0.2685453,1.790361518156188,0.26340377
33,2,60,126,42,1.7812146536485622,0.2685453,1.7909100631718111,0.26340377
34,2,60,189,63,1.7810548576373368,0.27257445,1.789996397570411,0.27133852
35,2,60,378,126,1.7810099704232296,0.2685453,1.7903512175541965,0.26340377
